dataset,season,row_count,generated_at_utc
lineups,2010,179693,2026-08-19 20:19:08 UTC
lineups,2011,216731,2026-08-19 23:32:34 UTC
lineups,2012,218690,2026-08-19 20:25:25 UTC
lineups,2013,215394,2026-08-19 20:29:01 UTC
lineups,2014,225809,2026-08-19 20:32:46 UTC
lineups,2015,226693,2026-08-19 20:36:40 UTC
lineups,2016,218562,2026-08-19 20:40:30 UTC
lineups,2017,219015,2026-08-19 20:44:24 UTC
lineups,2018,214691,2026-08-19 20:48:15 UTC
lineups,2019,229748,2026-08-19 20:51:51 UTC
lineups,2020,243055,2026-08-19 20:55:42 UTC
lineups,2021,172469,2026-08-19 20:59:28 UTC
lineups,2022,250040,2026-08-19 23:36:15 UTC
lineups,2023,267546,2026-08-19 21:06:55 UTC
lineups,2024,272294,2026-08-19 21:11:43 UTC
lineups,2025,277406,2026-08-19 21:16:45 UTC
lineups,2026,286277,2026-08-19 21:22:24 UTC
