dataset,season,row_count,generated_at_utc
matchup_stints,2010,3425,2026-08-20 02:12:01 UTC
matchup_stints,2011,177132,2026-08-20 02:08:19 UTC
matchup_stints,2012,177310,2026-08-20 02:03:33 UTC
matchup_stints,2013,174857,2026-08-20 01:58:41 UTC
matchup_stints,2014,185693,2026-08-20 01:53:48 UTC
matchup_stints,2015,183344,2026-08-20 01:48:40 UTC
matchup_stints,2016,185911,2026-08-20 01:43:18 UTC
matchup_stints,2017,187147,2026-08-20 01:36:28 UTC
matchup_stints,2018,183543,2026-08-20 01:29:24 UTC
matchup_stints,2019,187642,2026-08-20 01:23:09 UTC
matchup_stints,2020,185217,2026-08-20 01:15:57 UTC
matchup_stints,2021,129124,2026-08-20 01:08:51 UTC
matchup_stints,2022,184602,2026-08-20 01:02:50 UTC
matchup_stints,2023,197622,2026-08-20 00:54:55 UTC
matchup_stints,2024,200151,2026-08-20 00:47:07 UTC
matchup_stints,2025,202955,2026-08-20 00:38:48 UTC
matchup_stints,2026,208582,2026-08-20 00:30:50 UTC
