dataset,season,row_count,generated_at_utc
pbp,2010,2586270,2026-08-18 12:39:28 UTC
pbp,2011,2476561,2026-08-18 12:13:00 UTC
pbp,2012,2471583,2026-08-18 11:46:23 UTC
pbp,2013,2464456,2026-08-18 12:52:24 UTC
pbp,2014,2591032,2026-08-18 11:08:10 UTC
pbp,2015,2559216,2026-08-18 10:53:53 UTC
pbp,2016,2565990,2026-08-18 08:24:33 UTC
pbp,2017,2568651,2026-08-18 08:10:46 UTC
pbp,2018,2536913,2026-08-18 07:57:10 UTC
pbp,2019,2627251,2026-08-18 07:42:47 UTC
pbp,2020,2634501,2026-08-18 07:27:55 UTC
pbp,2021,1853729,2026-08-18 07:15:47 UTC
pbp,2022,2662872,2026-08-18 06:57:37 UTC
pbp,2023,2834223,2026-08-18 06:39:55 UTC
pbp,2024,2871327,2026-08-18 06:21:48 UTC
pbp,2025,2910463,2026-08-18 06:02:43 UTC
pbp,2026,2986683,2026-08-18 05:42:49 UTC
