dataset,season,row_count,generated_at_utc
possessions,2010,14765,2026-08-18 12:49:32 UTC
possessions,2011,774164,2026-08-18 12:33:17 UTC
possessions,2012,769586,2026-08-18 12:04:53 UTC
possessions,2013,772077,2026-08-18 11:39:59 UTC
possessions,2014,811996,2026-08-18 11:18:36 UTC
possessions,2015,798315,2026-08-18 11:03:22 UTC
possessions,2016,799362,2026-08-18 08:33:23 UTC
possessions,2017,799333,2026-08-18 08:19:39 UTC
possessions,2018,797837,2026-08-18 08:05:53 UTC
possessions,2019,805401,2026-08-18 07:52:01 UTC
possessions,2020,780818,2026-08-18 07:37:14 UTC
possessions,2021,547975,2026-08-18 07:22:46 UTC
possessions,2022,784278,2026-08-18 07:11:00 UTC
possessions,2023,830581,2026-08-18 06:51:07 UTC
possessions,2024,841697,2026-08-18 06:33:35 UTC
possessions,2025,850375,2026-08-18 06:15:24 UTC
possessions,2026,862940,2026-08-18 05:55:42 UTC
